"";"SA2_NAME16";"SA3_CODE16";"x"
"174";"Bellevue Heights";"40303";54,1556944089269
"175";"Bellingen";"10402";35,5388175463651
"176";"Belmont";"20302";51,5076257577252
"177";"Belmont - Ascot - Redcliffe";"50602";58,714520425629
"178";"Belmont - Bennetts Green";"11101";51,3105714717726
"179";"Belmont - Gumdale";"30101";32,3112486419387
"180";"Belmont South - Blacksmiths";"11101";60,1881448721515
"181";"Belmore - Belfield";"11902";55,9140948405553
"182";"Benalla";"20402";56,4302036662681
"183";"Benalla Region";"20402";55,6271188664705
"184";"Bendigo";"20201";54,943001308436
"185";"Bendigo Region - North";"20203";44,6033500941683
"186";"Bendigo Region - South";"20202";46,47
"187";"Benowa";"30910";53,110617859724
"188";"Bentleigh - McKinnon";"20802";34,1177052305453
"189";"Bentleigh East (North)";"20802";28,8362728310303
"190";"Bentleigh East (South)";"20802";43,7996959346996
"191";"Bentley - Wilson - St James";"50603";33,5602054681603
"192";"Bentley Park";"30602";41,1873238487322
"193";"Berala";"12501";48,1568990996865
"194";"Beresfield - Hexham";"11103";39,6805207764927
"195";"Berkeley - Lake Heights - Cringila";"10701";45,106414139631
"196";"Berowra - Brooklyn - Cowan";"12102";40,5197976857582
"197";"Berri";"40703";48,4423582159716
"198";"Berriedale - Chigwell";"60103";31,9991888677965
"199";"Berrimah";"70102";53,0180651109121
"200";"Berry - Kangaroo Valley";"11401";37,8075060505867
"201";"Berserker";"30803";47,0321728231652
"202";"Bertram - Wellard (West)";"50703";51,2625309049937
"203";"Berwick - North";"21202";54,64345659859
"204";"Berwick - South";"21202";43,0009551760174
"205";"Bethania - Waterford";"31105";29,2847676577738
"206";"Beverley";"40401";57,6055920105098
"207";"Bexley";"11904";44,2846580513924
"208";"Bibra Industrial";"50701";59,6385120739013
"209";"Bibra Lake";"50701";53,3904013325418
"210";"Bicton - Palmyra";"50704";43,0213240483021
"211";"Bidwill - Hebersham - Emerton";"11603";44,7410242028906
"212";"Biggera Waters";"30903";51,8953710308822
"213";"Biloela";"30804";46,6244231295807
"214";"Bilpin - Colo - St Albans";"11503";58,8335922277911
"215";"Birkdale";"30101";51,8443714893105
"216";"Black Mountain";"80105";55,5841741156213
"217";"Blackburn";"20703";52,4741254529616
"218";"Blackburn South";"20703";41,9940757967268
"219";"Blackheath - Megalong Valley";"12401";58,5278951238988
"220";"Blacktown (East) - Kings Park";"11601";29,2828100941196
"221";"Blacktown (North) - Marayong";"11601";45,7435547291197
"222";"Blacktown (South)";"11601";41,7239976149268
"223";"Blacktown (West)";"11601";28,9678738103954
"224";"Blackwood";"40303";56,4753155478586
"225";"Blaxland - Warrimoo - Lapstone";"12401";39,4551315023381
"226";"Blayney";"10304";37,9284934853017
"227";"Bli Bli";"31607";50,4425124556667
"228";"Blue Haven - San Remo";"10202";53,2985792750079
"229";"Blue Mountains - North";"12401";51,4405375132068
"230";"Blue Mountains - South";"12402";41,3554482538211
"231";"Bohle Plains";"31802";51,608745378722
"232";"Bolton Point - Teralba";"11102";28,7311273075998
"233";"Bombala";"10103";30,0096799038758
"234";"Bondi - Tamarama - Bronte";"11801";39,1185300796399
"235";"Bondi Beach - North Bondi";"11801";52,395654836153
"236";"Bondi Junction - Waverly";"11801";42,687602559652
"237";"Bonnells Bay - Silverwater";"11102";32,3363007292167
"238";"Bonner";"80104";30,617702473957
"239";"Bonnyrigg Heights - Bonnyrigg";"12702";51,0071076535843
"240";"Bonython";"80107";39,2786582270309
"241";"Boonah";"31002";49,7535881470964
"242";"Boondall";"30203";35,4342413208398
"243";"Booragoon";"50704";52,2644884347097
"244";"Booral - River Heads";"31904";31,9931334800102
"245";"Boronia";"21101";54,2551202406474
"246";"Boronia Heights - Park Ridge";"31103";46,5619813515789
"247";"Bossley Park - Abbotsbury";"12702";58,5117988298182
"248";"Botany";"11701";35,7763671098888
"249";"Boulder";"51103";53,4396615058847
"250";"Bouldercombe";"30803";60,4545628993605
